Commune_Number,Commune_Name,EPCI_Number,Very_Low_Income_Population_Count,Very_Low_Income_Population_Percent
7124,Lafarre,200016905,nd,8.7
7126,Lagorce,200039808,nd,7
7127,Lalevade-d'Ardèche,200039824,nd,8.7
7128,Lalouvesc,240700716,nd,4.9
7129,Lamastre,200016905,nd,8.7
7130,Lanarce,200072007,nd,9.4
7131,Lanas,200039808,nd,7
7132,Largentière,240700617,nd,10.7
7133,Larnas,240700864,9.5,7.4
7134,Laurac-en-Vivarais,240700617,nd,10.7
7136,Laveyrune,200072007,nd,9.4
7137,Lavillatte,200072007,nd,9.4
7138,Lavilledieu,200073245,nd,8.9
7139,Laviolle,200073245,nd,8.9
7140,Lemps,200073096,nd,5.4
7141,Lentillères,200073245,nd,8.9
7142,Lespéron,200072007,nd,9.4
7143,Limony,200072015,nd,6.7
7144,Loubaresse,240700302,nd,11.6
